District_ID,DISTRICT,State_ID
63,RI-BHOI,25
95,GARO HILLS EAST,25
241,GARO HILLS EAST,25
291,KHASI HILLS WEST,25
306,RI-BHOI,25
398,RI-BHOI,25
408,RI-BHOI,25
428,RI-BHOI,25
517,GARO HILLS EAST,25
685,JAINTIA HILLS,25
1052,GARO HILLS SOUTH,25
1066,RI-BHOI,25
1077,JAINTIA HILLS,25
1135,GARO HILLS WEST,25
1380,KHASI HILLS EAST,25
1423,JAINTIA HILLS,25
1660,RI-BHOI,25
1685,GARO HILLS SOUTH,25
1729,KHASI HILLS WEST,25
1781,GARO HILLS EAST,25
1848,KHASI HILLS EAST,25
1934,KHASI HILLS WEST,25
1986,KHASI HILLS EAST,25
2121,TOTAL,25
2229,GARO HILLS EAST,25
2417,GARO HILLS EAST,25
2540,GARO HILLS SOUTH,25
2675,GARO HILLS NORTH,25
2830,GARO HILLS SOUTH,25
2839,GARO HILLS EAST,25
3131,JAINTIA HILLS,25
3422,JAINTIA HILLS EAST,25
3522,KHASI HILLS WEST,25
3579,RI-BHOI,25
3728,TOTAL,25
3737,GARO HILLS WEST,25
3752,TOTAL,25
3836,JAINTIA HILLS,25
3927,KHASI HILLS EAST,25
3936,GARO HILLS SOUTH,25
3993,GARO HILLS SOUTH W.,25
4037,GARO HILLS EAST,25
4232,KHASI HILLS EAST,25
4419,JAINTIA HILLS,25
4509,KHASI HILLS EAST,25
4673,GARO HILLS WEST,25
4806,KHASI HILLS SOUTH W.,25
4875,TOTAL,25
5034,GARO HILLS EAST,25
5221,TOTAL,25
5649,GARO HILLS EAST,25
5672,GARO HILLS EAST,25
5760,GARO HILLS WEST,25
5763,KHASI HILLS WEST,25
5869,JAINTIA HILLS WEST,25
5895,KHASI HILLS WEST,25
5927,GARO HILLS WEST,25
5979,KHASI HILLS WEST,25
6002,GARO HILLS SOUTH,25
6008,RI-BHOI,25
6134,KHASI HILLS EAST,25
6238,GARO HILLS EAST,25
6464,JAINTIA HILLS,25
6501,TOTAL,25
6654,GARO HILLS SOUTH,25
6686,KHASI HILLS WEST,25
6699,GARO HILLS SOUTH,25
6722,TOTAL,25
6748,KHASI HILLS EAST,25
6815,RI-BHOI,25
