District_ID,State_ID,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs
7370,22,2003,3,5,2,0,0,2,94,1,0,101
5903,22,2002,1,9,0,0,0,0,4,0,0,45
1142,20,2012,0,5,0,0,0,0,1,0,0,3
7317,22,2012,1,7,2,0,0,1,26,0,0,26
995,22,2010,0,2,1,0,0,0,1,0,0,6
4819,35,2005,0,1,3,0,0,0,0,2,0,3
8643,1,2008,0,0,0,0,0,0,0,0,0,0
3574,33,2006,0,0,0,0,0,0,0,23,0,0
3289,18,2005,0,0,0,0,0,0,2,4,0,3
2384,35,2004,11,8,6,0,0,2,11,13,0,29
9426,19,2009,38,39,6,0,3,0,262,1097,10,719
8684,35,2003,2,0,1,0,0,0,0,18,0,17
3681,26,2010,0,0,0,0,0,0,0,0,0,0
1372,5,2004,0,0,0,0,0,0,0,0,0,0
1222,23,2001,0,3,0,0,0,0,1,14,4,12
4701,18,2007,0,0,0,0,0,0,0,11,0,0
8293,31,2002,44,123,27,1,5,76,361,2384,1,1513
4205,35,2013,2,4,0,0,0,0,3,0,0,27
9187,14,2012,0,1,0,0,0,0,0,0,0,0
6973,31,2011,3,13,0,0,0,7,4,2,0,482
8662,14,2001,0,0,0,0,0,0,0,6,0,6
8912,36,2004,0,0,0,0,0,0,0,0,0,0
5501,4,2013,0,0,0,0,0,0,0,0,0,0
459,6,2012,0,0,0,0,0,0,1,128,0,0
8356,30,2002,1,0,0,0,0,0,1,0,0,4
8937,4,2009,0,0,0,0,0,0,0,0,0,0
783,28,2006,0,0,0,0,0,1,0,24,0,2
5822,17,2002,0,0,0,0,0,0,0,0,0,0
5110,15,2009,0,0,0,0,0,0,0,1,0,0
1251,15,2003,9,24,9,0,0,1,43,36,0,73
4814,19,2001,1,2,0,0,0,0,13,36,8,23
5968,22,2008,2,9,1,0,0,0,5,0,0,23
317,26,2009,0,0,0,0,0,0,0,0,0,0
5638,22,2013,0,0,0,0,0,0,0,0,0,0
9125,18,2005,3,2,0,0,0,0,15,1,0,0
7773,23,2011,0,1,0,0,0,0,0,1,0,1
131,20,2011,1,12,0,0,0,0,31,2,0,12
672,22,2008,1,0,0,0,0,0,0,0,0,1
103,20,2008,0,2,0,0,0,0,4,2,0,7
4067,35,2003,4,2,0,0,0,0,0,12,0,6
9803,28,2002,0,1,1,0,0,0,4,0,0,5
2851,23,2004,0,0,0,0,0,0,0,12,1,4
9581,6,2013,2,0,2,0,0,3,4,98,0,0
4117,31,2012,0,4,0,0,0,0,17,0,0,16
2990,3,2010,3,3,0,0,0,2,52,102,0,170
8632,22,2004,2,4,0,0,0,1,63,0,0,35
2197,3,2011,6,1,0,0,0,2,31,28,0,69
6534,16,2002,0,1,0,0,0,0,0,1,0,1
4547,35,2003,7,7,0,0,0,0,2,0,0,13
9241,35,2008,4,5,0,0,0,1,2,44,0,25
4030,22,2011,4,15,0,0,0,2,12,0,0,39
3176,12,2013,0,0,0,0,0,0,0,2,0,1
5512,35,2010,1,0,2,0,0,0,0,0,0,33
1811,33,2009,0,0,0,0,0,0,0,41,0,0
310,36,2002,0,0,0,0,0,0,0,3,0,0
1403,19,2008,2,2,2,2,0,0,56,155,1,96
8779,6,2003,0,0,0,0,0,0,0,1,0,3
2779,35,2002,3,7,3,0,2,1,9,3,0,27
3537,31,2011,0,3,0,0,0,1,0,1,0,131
3669,17,2012,0,0,0,0,0,0,0,0,0,0
5662,30,2005,0,0,0,0,0,0,0,1,0,1
7653,12,2002,0,0,0,0,0,0,0,0,0,0
6994,6,2004,0,0,0,0,0,0,0,8,0,0
1398,11,2002,0,0,0,0,0,0,0,0,0,0
2226,37,2007,0,0,0,0,0,0,0,0,0,0
8827,30,2011,0,0,0,0,0,0,0,0,0,1
9262,6,2009,0,0,0,0,0,0,0,1,0,0
1247,15,2002,2,2,2,0,0,0,0,3,0,6
8465,18,2006,0,2,0,0,0,0,2,0,0,2
8513,37,2012,0,0,0,0,0,0,0,1,0,0
3025,35,2004,2,1,1,0,0,0,1,0,0,3
6943,35,2008,5,7,1,0,0,0,8,0,0,51
1169,31,2012,0,0,4,0,0,0,0,2,0,135
8755,4,2008,0,0,0,0,0,0,0,0,0,0
3554,15,2004,0,4,0,0,0,0,10,5,0,8
7142,17,2005,0,0,0,0,0,0,0,0,0,0
1342,5,2002,0,0,0,0,0,0,1,0,0,2
199,18,2007,0,0,0,0,0,0,4,20,0,17
2376,12,2001,0,0,0,0,0,0,0,0,0,0
9583,20,2012,0,6,0,0,0,1,22,2,0,22
3136,30,2006,0,0,0,0,0,0,0,6,0,8
5219,5,2013,0,0,0,0,0,0,0,0,0,0
2720,31,2006,3,2,3,0,1,1,7,2,0,70
8475,30,2005,1,0,0,0,0,0,0,3,0,2
2365,15,2008,2,2,0,0,0,1,2,6,1,2
1716,33,2003,2,2,0,0,0,0,28,32,2,6
8512,22,2013,1,8,3,0,0,0,7,0,0,158
2306,31,2010,0,6,0,0,0,0,2,3,0,51
6327,35,2009,2,6,4,0,0,1,7,0,0,52
599,18,2012,0,0,0,0,0,0,7,0,0,1
7168,31,2001,0,0,0,0,0,0,12,39,0,0
4945,22,2004,2,17,2,0,0,1,5,1,0,169
147,23,2005,0,3,0,0,0,1,1,6,0,14
4349,36,2001,0,0,0,0,0,0,0,0,0,0
480,23,2009,1,1,0,0,0,0,0,0,0,0
9166,33,2012,0,0,0,0,0,0,0,70,0,0
1637,15,2006,7,31,15,0,1,1,45,86,0,97
7367,15,2006,0,0,0,0,0,0,0,1,0,1
2252,6,2005,0,0,0,0,0,0,2,5,0,3
3852,28,2002,0,4,0,0,0,0,0,30,0,26
2014,23,2004,0,8,0,0,0,0,2,7,0,6
9723,22,2005,1,4,0,0,0,0,24,14,0,14
8846,33,2002,0,0,0,0,0,0,0,3,16,3
8675,33,2008,1,0,0,0,0,0,1,21,0,0
4161,20,2010,0,1,0,0,0,0,2,0,0,2
2813,14,2009,0,0,2,1,0,0,2,28,0,7
2571,31,2010,0,0,0,0,0,0,9,0,0,26
9369,5,2005,0,0,0,0,0,0,0,0,0,0
390,12,2008,0,0,0,0,0,0,0,3,0,0
43,23,2005,1,0,0,0,1,0,1,7,0,12
6763,12,2008,0,0,0,0,0,0,0,4,0,0
2463,6,2003,0,0,0,0,0,5,0,18,0,15
7052,23,2006,0,3,0,0,0,0,0,9,1,7
9161,33,2006,0,0,0,0,0,0,0,8,0,0
1330,13,2003,0,0,0,0,0,0,0,1,0,0
8298,18,2004,0,0,0,0,0,0,0,1,0,1
1282,35,2012,5,8,7,0,0,3,17,49,0,110
9618,31,2013,0,0,0,0,0,0,0,0,0,0
4340,35,2006,8,5,0,0,0,1,0,0,0,28
4688,35,2005,4,4,2,0,0,0,4,0,0,7
6306,35,2005,7,13,1,0,0,1,21,45,0,66
2173,28,2008,1,4,0,0,0,0,3,0,0,0
9762,31,2008,2,6,0,0,0,3,1,8,0,197
990,26,2001,0,0,0,0,0,0,0,0,0,0
7537,12,2001,0,0,0,0,0,0,0,0,0,0
7879,3,2003,0,0,0,0,0,0,0,0,0,0
4370,35,2003,5,5,1,0,0,0,0,0,0,5
5952,28,2004,1,0,1,0,0,0,8,0,0,5
9077,37,2012,0,0,0,0,0,0,2,5,0,9
157,19,2003,2,1,0,0,0,0,7,19,0,8
8739,19,2006,1,1,0,0,0,0,1,63,0,61
1267,4,2008,0,0,0,0,0,0,0,0,0,0
6813,23,2011,0,0,0,0,0,0,0,6,0,0
1604,23,2002,0,1,0,0,0,0,0,3,0,3
8688,15,2005,1,6,1,0,1,0,5,5,0,13
9357,19,2007,0,0,0,0,0,0,0,88,0,88
1692,21,2005,0,0,0,0,0,0,0,0,0,0
355,28,2008,2,3,0,0,0,0,0,9,0,0
3399,28,2002,0,2,0,0,0,0,37,39,0,0
534,35,2005,3,3,0,0,0,1,11,0,0,16
7698,28,2006,0,4,0,0,0,0,0,0,0,41
2804,33,2013,0,1,0,0,0,0,0,44,0,0
7832,35,2010,0,3,1,0,0,2,11,8,0,32
5100,22,2001,2,7,1,0,1,5,1,0,1,112
986,6,2002,0,0,0,0,0,0,21,21,0,0
928,16,2013,0,0,0,0,0,0,0,5,0,0
7254,14,2005,0,0,3,1,1,1,5,25,0,8
6522,14,2010,0,0,0,0,0,1,1,17,0,13
8682,3,2012,1,3,0,0,0,0,9,95,0,43
7660,22,2007,1,4,1,0,0,0,2,0,0,22
5597,22,2005,0,0,0,0,0,0,0,0,0,0
2060,22,2010,3,10,4,0,0,0,5,0,0,55
3227,22,2009,1,4,1,0,0,0,4,0,0,10
6690,27,2012,0,0,0,0,0,0,0,0,0,0
5226,23,2006,0,0,0,0,0,0,1,3,0,5
9067,20,2013,0,0,0,0,0,0,13,1,0,10
5620,30,2005,1,1,0,0,0,0,0,0,0,0
3416,33,2002,2,0,0,0,0,0,10,31,0,19
8507,18,2007,0,0,0,0,0,0,0,0,0,1
4600,20,2011,0,2,0,0,0,0,10,2,0,14
1703,15,2001,0,3,2,0,0,1,11,1,0,3
5996,23,2005,2,1,1,1,0,1,0,6,0,8
8037,35,2012,11,6,10,0,0,0,5,0,0,89
249,26,2011,0,0,0,0,0,0,0,0,0,0
2148,8,2010,0,2,0,0,0,0,1,0,0,6
6553,15,2012,0,2,2,0,0,0,2,0,0,5
1140,21,2008,0,0,0,0,0,0,0,0,0,0
6862,23,2012,0,5,1,4,1,1,8,10,0,17
711,37,2003,0,0,0,0,0,0,0,0,0,1
9074,22,2004,2,7,0,0,0,0,6,21,0,11
1812,17,2002,1,4,0,0,0,1,2,0,0,5
8839,31,2013,0,2,2,0,0,1,13,1,0,27
5554,33,2010,0,0,0,0,0,0,4,25,0,3
5165,6,2013,1,1,0,0,0,4,2,150,0,0
2711,27,2007,0,0,0,0,0,0,0,0,0,0
9607,14,2013,0,0,0,0,0,0,0,1,0,0
1999,6,2010,5,3,1,0,2,4,12,38,0,14
5429,6,2011,0,8,0,0,0,0,5,113,0,0
9350,31,2012,3,3,0,0,0,1,0,0,0,161
4773,22,2001,1,1,0,0,0,0,0,0,0,0
5408,35,2006,4,2,2,0,0,3,0,0,0,99
6629,8,2003,0,0,0,0,0,0,0,0,0,0
3461,8,2005,0,3,0,0,0,0,0,0,0,19
6434,28,2005,0,0,0,0,0,0,0,2,0,3
9239,23,2013,0,0,0,0,1,0,1,1,0,3
4986,35,2001,4,7,1,0,1,3,11,13,0,39
4594,5,2008,0,0,0,0,0,0,0,0,0,0
9222,3,2009,0,0,0,0,0,0,0,1,0,0
3038,23,2010,0,0,0,0,0,0,0,10,0,1
498,6,2011,2,2,2,0,1,3,41,60,0,9
4615,5,2003,0,0,0,0,0,0,0,0,0,0
7022,5,2001,0,0,0,0,0,0,0,0,0,0
6168,27,2010,0,0,0,0,0,0,0,0,0,0
8215,15,2002,0,0,0,0,0,0,0,0,0,0
4570,19,2004,0,2,0,0,0,0,1,19,0,0
5872,22,2013,5,17,3,0,0,1,91,0,0,73
112,3,2004,0,0,0,0,0,0,0,0,0,0
9275,18,2010,0,0,0,0,0,0,3,6,0,2
2943,6,2005,0,0,0,0,0,1,14,17,0,2
3379,35,2009,9,12,12,0,0,2,8,0,0,210
8022,22,2012,2,14,4,0,0,0,4,0,0,62
8011,37,2006,0,1,0,0,0,0,0,0,0,1
1070,31,2013,0,8,1,0,0,0,0,5,0,88
7620,20,2009,0,0,0,0,0,0,0,0,0,0
6226,35,2012,2,1,0,0,0,1,0,0,0,88
2633,18,2005,0,1,0,0,0,0,3,1,0,16
1061,35,2008,0,1,1,0,0,1,1,25,0,18
5967,31,2004,3,17,4,0,0,0,44,8,0,228
2188,5,2006,0,0,0,0,0,0,0,0,0,0
1207,14,2003,1,1,0,0,0,0,16,27,0,27
974,22,2011,0,6,1,0,1,0,2,0,0,6
430,36,2006,0,0,0,0,0,0,0,2,0,0
680,33,2002,2,0,0,0,0,1,4,35,0,28
3679,8,2011,0,0,0,0,0,0,0,0,0,0
1862,6,2008,0,0,0,0,0,0,0,3,0,0
6088,19,2005,0,0,0,0,0,0,0,31,0,44
6861,18,2006,0,0,0,0,0,0,0,10,0,0
6660,18,2002,0,0,0,0,0,1,0,3,0,1
9443,36,2010,0,0,0,0,0,0,0,1,0,0
5944,26,2008,0,0,0,0,0,0,0,0,0,0
